ID	Generation	male.no	Side	Pop.	individual	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38	Centroid.Size	Log.Centroid.Size	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28	ProcCoord29	ProcCoord30	ProcCoord31	ProcCoord32	ProcCoord33	ProcCoord34	ProcCoord35	ProcCoord36	ProcCoord37	ProcCoord38	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_AC01_L	FG	01	L	AC	FG_AC01	3.95431	11.25692	4.39368	6.92384	7.78743	4.54519	9.62066	4.43913	9.78731	5.19667	8.93888	5.33302	8.46921	6.02995	7.1208	7.89348	10.04487	9.21159	11.9387	8.2268	13.19621	9.98427	14.98398	9.04493	13.68103	7.1814	13.25681	6.24206	14.52946	7.36321	17.72625	8.71162	17.36263	9.95397	15.68091	11.45388	13.19621	12.15081	19.733978692268185	2.982341956687163	-0.3079848180886243	0.2721821716077464	-0.3525721318015106	0.055602076790987706	-0.22431087771026753	-0.1109932918761585	-0.1371931520224928	-0.14393848713177487	-0.11760865892523764	-0.1098161910404436	-0.15661004812785628	-0.090325539081487	-0.16875931218903867	-0.04946469146478703	-0.20574627677316185	0.0612440350336011	-0.04412716278102188	0.08067218713352928	0.032574047331879914	0.004249757556464643	0.12014776199811794	0.07024425229956983	0.19246006389563733	-0.0023681386279207003	0.10106685461873885	-0.07282435854831791	0.06625203206234626	-0.11185821032716486	0.14491516199243196	-0.07690373839003185	0.3202181414887801	-0.06009903470616138	0.3214457289563738	0.0055678832832662395	0.26279086443238664	0.1036845540032974	0.15304178164251975	0.17514476348578611	5.0	1.0	120.67	24.03	3.96	-0.966742	-1.452461	-0.746685	0.027439	0.0640902
FG_AC01_R	FG	01	R	AC	FG_AC01	14.84763	11.74175	15.62031	7.04505	12.66593	4.34823	10.93876	3.81796	10.56	4.43913	11.39328	4.77245	11.59024	5.54513	12.48413	7.78743	9.6055	8.33285	7.87833	6.96929	6.27236	8.42375	4.74215	7.22685	6.37842	5.63604	6.99959	4.8179	5.49968	5.68149	2.33319	6.27236	2.34835	7.63592	3.5907	9.37824	5.84814	10.56	19.514515903028375	2.971158593921019	-0.2997247186106012	0.28040538307609464	-0.3624474007982597	0.04436157623967993	-0.22491722617221568	-0.10791738624111978	-0.1393738168874419	-0.1435188807639417	-0.11695319766826436	-0.11368747956937623	-0.15784122330742764	-0.09254028558600846	-0.16407846788008093	-0.05212106879565834	-0.19862194853893028	0.06678760074633071	-0.0488829289383978	0.0804023391297263	0.032513470216946165	0.0022410307296680896	0.12171714497929537	0.06855213305339791	0.19393837503646252	-1.3804836692249411E-4	0.102501567797271	-0.0732694728631888	0.0667247148272028	-0.11196563748382538	0.14760066725602458	-0.0753041052529062	0.31227611593587107	-0.06076037906052043	0.318217483858651	0.00892657840193789	0.26339603950188006	0.10401749781542442	0.15395534939201827	0.17552860479120852	5.0	1.0	120.67	24.03	3.96	-0.966742	-1.452461	-0.746685	0.027439	0.0640902
FG_AC02_L	FG	02	L	AC	FG_AC02	4.03007	12.34777	3.24223	7.13595	6.16631	4.03007	7.90863	3.54525	8.48436	4.13612	7.52987	4.57549	7.28746	5.34817	6.48447	7.74197	9.96912	8.27225	11.28723	6.62083	13.22651	8.33285	14.93853	6.92384	12.77199	5.18152	12.24172	4.37853	13.84769	5.10576	18.18077	6.37842	17.84746	7.51472	16.4839	9.24189	13.66588	10.5903	21.554945188952274	3.070605265349763	-0.2966058114047	0.28292490088638406	-0.3496941843925809	0.04399769720443628	-0.2240942078852362	-0.10912472867240075	-0.1449399871100575	-0.1371153974694237	-0.11639982545094844	-0.11157844481423788	-0.1592037832135023	-0.0881947103160256	-0.16797478196625118	-0.05163545103816301	-0.1975650758104234	0.061795812361987223	-0.03446053232488961	0.07528961984516219	0.02135078010726268	-0.00538022881663542	0.11660939382807904	0.06773869893034729	0.1914319614684782	-0.002964334095358463	0.08555580594430727	-0.07677923419092156	0.058422238557029514	-0.11228839873674945	0.13513616427168418	-0.08370425931666102	0.3398659333510696	-0.038545323188529504	0.32804455359280477	0.015160832068303473	0.2703753729359127	0.09949594210717076	0.14414598550195998	0.1709070072513148	5.5	3.17	154.07	24.74	4.13	-0.57229	0.5055616	-0.417896	0.1251187	0.7389839
FG_AC02_R	FG	02	R	AC	FG_AC02	16.10513	12.36292	16.77176	6.84809	13.42347	4.27248	11.86295	3.84826	11.33268	4.34823	12.16596	4.8179	12.36292	5.59058	13.31741	8.04499	9.86307	8.84797	8.51466	7.25715	6.71173	9.02978	4.95426	7.68137	6.87839	5.8936	7.43896	4.99971	5.84814	5.9845	2.16654	7.01474	2.31804	8.56011	3.6816	10.16608	6.27236	11.22662	21.34130533279981	3.060644412362778	-0.2948887426756675	0.28447554868264197	-0.36078598415419383	0.032550855221492966	-0.22157735640992632	-0.1082760685025693	-0.15177993809140639	-0.1378601704036599	-0.12398625848503914	-0.11799314744873454	-0.15971458321519347	-0.09090460382581733	-0.16397181782876039	-0.05376988574382439	-0.19276264029266355	0.06626892172798587	-0.027229997519275385	0.08168849319180704	0.02532940694959008	-7.31978351517391E-4	0.12029190903308568	0.07017440346646386	0.19338225354366756	-0.0035817274735828394	0.09269335050441706	-0.0744321413479978	0.060988581443025484	-0.11239821095404072	0.14111913732786877	-0.07673745144205232	0.3186534170319922	-0.05219683994567954	0.3213954605905655	0.020531944013870068	0.26823085226394255	0.10376083412078461	0.15461294998397032	0.16943122501443092	5.5	3.17	154.07	24.74	4.13	-0.57229	0.5055616	-0.417896	0.1251187	0.7389839
FG_AC10_L	FG	10	L	AC	FG_AC10	3.46949	12.43868	3.07558	6.51477	5.9239	5.06031	7.66622	4.77245	8.07529	5.37847	7.2117	5.71179	6.95414	6.30266	6.0451	8.4086	9.56005	9.43885	11.15087	8.13589	12.74169	9.65096	14.62037	8.4086	12.84774	6.90869	11.95385	5.96935	13.89314	6.98444	17.40809	7.83288	16.98387	9.18129	15.71121	10.56	13.27196	11.72659	20.942602587469	3.0417854855640436	-0.2944389242407016	0.2695374277015198	-0.3584704437597249	-0.006986041282268943	-0.2351177075651698	-0.09759058221841355	-0.15510463295787616	-0.12453046669847817	-0.13114739091393307	-0.09906577385172478	-0.16934625030962702	-0.07671208703673602	-0.1769738854722548	-0.04683134963176585	-0.2037532806231146	0.059558126212369694	-0.029957508015924294	0.08123007614365757	0.03512503258505542	0.007538318096618996	0.12183466969686654	0.06686207031936135	0.20097428150408175	-0.006167102678532835	0.10580312202641523	-0.0634177649641442	0.056438172818932174	-0.10089808427711298	0.1557169710805971	-0.06785780803257108	0.32818287836059223	-0.05469845454128288	0.3185009291978929	0.012187008655958023	0.2689779574275033	0.08704605856502402	0.1627560091603904	0.16079642951852086	6.17	2.0	153.08	26.36	3.79	-0.043725	-0.550147	-0.427642	0.3479935	-0.610803
FG_AC10_R	FG	10	R	AC	FG_AC10	15.45365	10.92361	16.28694	5.83299	13.31741	3.31799	11.66599	2.89377	11.21147	3.37859	12.01446	3.81796	12.18111	4.45428	12.9841	6.65113	9.40855	7.46926	7.89348	6.06025	6.24206	7.48441	4.56034	6.40872	6.22691	4.74215	7.0602	3.96946	5.22697	4.727	1.90898	5.48453	2.18169	6.80263	3.42404	8.30255	5.71179	9.5146	20.914969520795893	3.0404651476038764	-0.2997602444115215	0.26987275981727993	-0.36267943014464604	0.031098566346364792	-0.23262689808761117	-0.10225334409392914	-0.15588484800967495	-0.1299856227959058	-0.13201772942273776	-0.10895105227579265	-0.16827248763330674	-0.0843627737474688	-0.17331865723102444	-0.05327658113404086	-0.20157540924727588	0.0550601982054079	-0.027498953934113248	0.07773781287549135	0.03825275753660389	0.0037059117703078116	0.12343200107977785	0.06403757129960784	0.1986555761306999	0.005103430274930751	0.1116391188685869	-0.0667061097144308	0.06842352321926015	-0.09972976357201595	0.1592095333127986	-0.07198353949396957	0.320807028817947	-0.05098507784043525	0.31381751201917313	0.01305529834608378	0.2614508581795801	0.09019377345295794	0.15794674895748606	0.1583685422795569	6.17	2.0	153.08	26.36	3.79	-0.043725	-0.550147	-0.427642	0.3479935	-0.610803
FG_AC12_L	FG	12	L	AC	FG_AC12	2.74226	13.69618	1.56051	8.62071	4.39368	6.12086	6.13601	5.66634	6.54507	6.31781	5.63604	6.66628	5.43908	7.34806	4.60579	9.46915	7.98439	10.12063	9.27219	8.80252	10.81756	10.13578	12.62048	9.12068	10.66605	7.34806	10.12063	6.51477	11.7872	7.40866	15.75667	8.46921	15.33245	9.63581	13.96889	11.13572	11.7872	12.27202	20.130003450711133	3.0022114110730036	-0.27757946540454276	0.2753353794966964	-0.35859282524634106	0.029300269536671864	-0.22940542646156056	-0.10702230450697087	-0.14517690416224208	-0.13724877055212517	-0.1220333068042016	-0.10681860746465467	-0.16548136126228596	-0.0855326770212084	-0.17220861759898318	-0.0509050126612255	-0.204052293353147	0.057804865805469355	-0.0338981868772891	0.07506887643815602	0.02401036689974175	0.004098521065078588	0.1064394206529789	0.06325047914803214	0.19118161501530012	0.004985715258810405	0.08656940614957159	-0.07409187151125789	0.05586022475954211	-0.11292203592339056	0.14233203491356106	-0.07606911974444999	0.34354068765184625	-0.04117747870998194	0.32772347526858625	0.018462519526327215	0.2668768936350887	0.09877176896890616	0.16389426222437756	0.16470948285111672	5.67	3.33	263.3	26.72	3.79	-0.438177	0.6499319	0.6573631	0.3975212	-0.610803
FG_AC12_R	FG	12	R	AC	FG_AC12	16.01423	12.19626	17.99896	7.30261	15.57486	4.42398	14.04464	3.77251	13.40832	4.18157	14.181	4.77245	14.181	5.48453	14.84763	7.78743	11.07512	7.80258	10.07517	6.39357	8.2571	7.49956	6.66628	6.28751	8.92373	4.7573	9.68126	4.15127	7.63592	4.727	3.80281	5.28757	4.09067	6.45417	5.06031	8.04499	7.31776	9.56005	20.476358665018388	3.0192709848034425	-0.2745146214580799	0.2720356945184606	-0.35971327443911166	0.028427532163784783	-0.23450393022196506	-0.10629966062188076	-0.15826289048100595	-0.13444858654282812	-0.12818490800491603	-0.11296173830386516	-0.1673037801108365	-0.08596759387636586	-0.16900893970336126	-0.051208823436986614	-0.20702861569316672	0.05961260375815974	-0.022941948810400566	0.06935385032055405	0.029234434226976237	0.0029531864016346023	0.11534519450182848	0.06127517476225792	0.19587638235008545	0.0058869000956406695	0.0893480570955931	-0.07417365561825498	0.0538105705673856	-0.1055660011144226	0.15225759548667545	-0.07259215338975436	0.33802715609015854	-0.03609963951669108	0.3212079716837569	0.02016608089672242	0.2700795559498568	0.09551683851623258	0.1562759909705276	0.16408999098760152	5.67	3.33	263.3	26.72	3.79	-0.438177	0.6499319	0.6573631	0.3975212	-0.610803
FG_AC13_L	FG	13	L	AC	FG_AC13	3.78766	12.07506	3.24223	6.49962	7.0905	4.60579	9.07523	4.46944	9.28734	5.27242	8.33285	5.48453	8.02984	6.0754	6.87839	8.2571	9.4237	9.4237	11.69629	8.2874	13.33256	10.10548	15.3173	9.07523	13.55982	7.02989	13.02955	6.16631	14.57492	7.22685	18.60499	9.01463	18.04441	10.04487	16.22634	11.59024	13.49922	12.28717	21.612977081132726	3.073293925080765	-0.28379303981870163	0.2691449462232998	-0.3751314778081277	0.026290385226890853	-0.22576165301532988	-0.10464801677680415	-0.1386508456733942	-0.1345806975866039	-0.11950545249511985	-0.10123052438698615	-0.15964182384354964	-0.08027355831697187	-0.1660996508593767	-0.05019312127507987	-0.19140860788241357	0.061228360003788444	-0.06345905043289357	0.08282459004793681	0.024485032768278774	0.004709917795745883	0.11950341318579895	0.06637501256648108	0.1959008856131634	-0.003547620893462944	0.09273295792375577	-0.07392492600695345	0.058628667934075764	-0.10618921339303543	0.1405010355394241	-0.07731259864970795	0.34221810420448595	-0.045756325692002456	0.32952944030776343	0.007079553900729049	0.26678415017293905	0.0980293873307855	0.15316791417922176	0.161974449881951	4.33	3.17	168.15	26.05	3.62	-1.495307	0.5055616	-0.279293	0.3053446	-1.285697
FG_AC13_R	FG	13	R	AC	FG_AC13	15.4082	12.68109	15.89302	7.51472	12.52958	4.98456	10.80241	4.56034	10.45394	5.12091	11.22662	5.59058	11.42358	6.30266	12.48413	8.69647	8.84797	9.71156	7.56017	8.18134	5.87845	9.83276	4.04522	8.77222	5.86329	6.84809	6.51477	5.96935	4.8179	6.96929	0.95449	8.30255	1.42416	9.5449	2.92407	11.07512	5.56028	12.33262	21.46207590709445	3.0662874663123265	-0.2962992257919482	0.2712934615459198	-0.36035041377262955	0.03805270020886911	-0.22641951643896135	-0.10528570907615864	-0.1505712103146971	-0.13872404889065088	-0.13003808252206442	-0.11581046354393228	-0.16170950487154678	-0.0880048996325788	-0.16499354749916556	-0.0537245595289443	-0.19431413424629304	0.06473199467833786	-0.01919780168308426	0.08191497488504493	0.027546222693263997	0.0012628338730480944	0.11809854097824536	0.0634633137893391	0.19366933531580022	-5.0435705342195825E-5	0.09465327141336556	-0.07366525258796852	0.05763879582708914	-0.10873227571032668	0.1436177943779816	-0.07655937497804799	0.33174405982470884	-0.0466082196083072	0.32023672084932625	0.01421902590964215	0.2637646859887338	0.09659357315239994	0.152924009871875	0.17563336121965545	4.33	3.17	168.15	26.05	3.62	-1.495307	0.5055616	-0.279293	0.3053446	-1.285697
