ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_AC01_L	5	1	120.67	24.03	3.96	-0.966742	-1.452461	-0.746685	0.027439	0.0640902
FG_AC01_R	5	1	120.67	24.03	3.96	-0.966742	-1.452461	-0.746685	0.027439	0.0640902
FG_AC02_L	5.5	3.17	154.07	24.74	4.13	-0.57229	0.5055616	-0.417896	0.1251187	0.7389839
FG_AC02_R	5.5	3.17	154.07	24.74	4.13	-0.57229	0.5055616	-0.417896	0.1251187	0.7389839
FG_AC10_L	6.17	2	153.08	26.36	3.79	-0.043725	-0.550147	-0.427642	0.3479935	-0.610803
FG_AC10_R	6.17	2	153.08	26.36	3.79	-0.043725	-0.550147	-0.427642	0.3479935	-0.610803
FG_AC12_L	5.67	3.33	263.3	26.72	3.79	-0.438177	0.6499319	0.6573631	0.3975212	-0.610803
FG_AC12_R	5.67	3.33	263.3	26.72	3.79	-0.438177	0.6499319	0.6573631	0.3975212	-0.610803
FG_AC13_L	4.33	3.17	168.15	26.05	3.62	-1.495307	0.5055616	-0.279293	0.3053446	-1.285697
FG_AC13_R	4.33	3.17	168.15	26.05	3.62	-1.495307	0.5055616	-0.279293	0.3053446	-1.285697
FG_AC14_L	5	2.83	193.37	25.55	3.96	-0.966742	0.1987746	-0.031027	0.2365561	0.0640902
FG_AC14_R	5	2.83	193.37	25.55	3.96	-0.966742	0.1987746	-0.031027	0.2365561	0.0640902
FG_AC15_L	9	3.5	234.52	18.84	3.79	2.1888716	0.8033254	0.374053	-0.686586	-0.610803
FG_AC15_R	9	3.5	234.52	18.84	3.79	2.1888716	0.8033254	0.374053	-0.686586	-0.610803
FG_AC16_L	7	3.67	185.45	19.58	3.96	0.6110649	0.9567189	-0.108992	-0.584779	0.0640902
FG_AC16_R	7	3.67	185.45	19.58	3.96	0.6110649	0.9567189	-0.108992	-0.584779	0.0640902
FG_AC17_L	4.83	1	92.32	17.26	3.96	-1.100855	-1.452461	-1.025763	-0.903958	0.0640902
FG_AC17_R	4.83	1	92.32	17.26	3.96	-1.100855	-1.452461	-1.025763	-0.903958	0.0640902
FG_AC18_L	5.17	2.5	244.04	25.59	4.13	-0.832628	-0.098989	0.4677678	0.2420592	0.7389839
FG_AC18_R	5.17	2.5	244.04	25.59	4.13	-0.832628	-0.098989	0.4677678	0.2420592	0.7389839
FG_AC19_L	7.83	3.5	224.33	32.19	3.79	1.2658547	0.8033254	0.2737428	1.1500677	-0.610803
FG_AC19_R	7.83	3.5	224.33	32.19	3.79	1.2658547	0.8033254	0.2737428	1.1500677	-0.610803
FG_AC20_L	6.5	3.83	346.37	25.18	3.96	0.2166133	1.1010892	1.4751035	0.1856526	0.0640902
FG_AC20_R	6.5	3.83	346.37	25.18	3.96	0.2166133	1.1010892	1.4751035	0.1856526	0.0640902
FG_AC21_L	6.83	2.5	361.23	28.98	3.79	0.4769514	-0.098989	1.6213853	0.7084454	-0.610803
FG_AC21_R	6.83	2.5	361.23	28.98	3.79	0.4769514	-0.098989	1.6213853	0.7084454	-0.610803
FG_AC23_L	7.5	2.33	316.7	31.43	3.79	1.0055166	-0.252383	1.1830323	1.0455091	-0.610803
FG_AC23_R	7.5	2.33	316.7	31.43	3.79	1.0055166	-0.252383	1.1830323	1.0455091	-0.610803
FG_AC25_L	4.83	1.67	158.55	25.02	3.96	-1.100855	-0.84791	-0.373795	0.1636403	0.0640902
FG_AC25_R	4.83	1.67	158.55	25.02	3.96	-1.100855	-0.84791	-0.373795	0.1636403	0.0640902
FG_AC26_L	5	2.33	159.43	31.02	3.79	-0.966742	-0.252383	-0.365132	0.9891025	-0.610803
FG_AC26_R	5	2.33	159.43	31.02	3.79	-0.966742	-0.252383	-0.365132	0.9891025	-0.610803
FG_AC27_L	6.33	4.33	244.83	23.84	3.79	0.0824997	1.5522465	0.4755446	0.0012993	-0.610803
FG_AC27_R	6.33	4.33	244.83	23.84	3.79	0.0824997	1.5522465	0.4755446	0.0012993	-0.610803
FG_AC28_L	6.33	2	181.72	25.01	3.79	0.0824997	-0.550147	-0.14571	0.1622645	-0.610803
FG_AC28_R	6.33	2	181.72	25.01	3.79	0.0824997	-0.550147	-0.14571	0.1622645	-0.610803
FG_AC29_L	7.33	1	196.85	30.78	3.96	0.871403	-1.452461	0.0032299	0.956084	0.0640902
FG_AC29_R	7.33	1	196.85	30.78	3.96	0.871403	-1.452461	0.0032299	0.956084	0.0640902
FG_AC31_L	7.17	1.5	169.3	23.44	3.96	0.7451785	-1.001304	-0.267972	-0.053731	0.0640902
FG_AC31_R	7.17	1.5	169.3	23.44	3.96	0.7451785	-1.001304	-0.267972	-0.053731	0.0640902
FG_AC33_L	6.5	2.5	145.75	33.81	3.62	0.2166133	-0.098989	-0.499798	1.3729425	-1.285697
FG_AC33_R	6.5	2.5	145.75	33.81	3.62	0.2166133	-0.098989	-0.499798	1.3729425	-1.285697
FG_AC34_L	9.17	2.75	146.54	36.96	3.79	2.3229851	0.1265894	-0.492021	1.8063102	-0.610803
FG_AC34_R	9.17	2.75	146.54	36.96	3.79	2.3229851	0.1265894	-0.492021	1.8063102	-0.610803
FG_AC36_L	5	1	146.87	23.68	3.79	-0.966742	-1.452461	-0.488773	-0.020713	-0.610803
FG_AC36_R	5	1	146.87	23.68	3.79	-0.966742	-1.452461	-0.488773	-0.020713	-0.610803
FG_AC37_L	10	4.5	498.5	28.89	3.79	2.9777749	1.70564	2.97267	0.6960634	-0.610803
FG_AC37_R	10	4.5	498.5	28.89	3.79	2.9777749	1.70564	2.97267	0.6960634	-0.610803
FG_AC40_L	6.83	2.83	126.3	31.84	4.13	0.4769514	0.1987746	-0.691264	1.1019157	0.7389839
FG_KL01_L	7.33	3.33	126.08	19.17	3.79	0.871403	0.6499319	-0.693429	-0.641185	-0.610803
FG_KL01_R	7.33	3.33	126.08	19.17	3.79	0.871403	0.6499319	-0.693429	-0.641185	-0.610803
FG_KL02_L	6.83	3.17	301.36	25.72	3.96	0.4769514	0.5055616	1.0320255	0.2599442	0.0640902
FG_KL03_L	6.17	2	157.07	24.27	3.79	-0.043725	-0.550147	-0.388364	0.0604575	-0.610803
FG_KL03_R	6.17	2	157.07	24.27	3.79	-0.043725	-0.550147	-0.388364	0.0604575	-0.610803
FG_KL10_L	9.5	3	423.55	25.15	3.62	2.5833232	0.3521681	2.2348628	0.1815253	-1.285697
FG_KL10_R	9.5	3	423.55	25.15	3.62	2.5833232	0.3521681	2.2348628	0.1815253	-1.285697
