ID	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38																										
FG_AC01_L	3.95431	11.25692	4.39368	6.92384	7.78743	4.54519	9.62066	4.43913	9.78731	5.19667	8.93888	5.33302	8.46921	6.02995	7.1208	7.89348	10.04487	9.21159	11.9387	8.2268	13.19621	9.98427	14.98398	9.04493	13.68103	7.1814	13.25681	6.24206	14.52946	7.36321	17.72625	8.71162	17.36263	9.95397	15.68091	11.45388	13.19621	12.15081																										
FG_AC01_R	14.84763	11.74175	15.62031	7.04505	12.66593	4.34823	10.93876	3.81796	10.56	4.43913	11.39328	4.77245	11.59024	5.54513	12.48413	7.78743	9.6055	8.33285	7.87833	6.96929	6.27236	8.42375	4.74215	7.22685	6.37842	5.63604	6.99959	4.8179	5.49968	5.68149	2.33319	6.27236	2.34835	7.63592	3.5907	9.37824	5.84814	10.56																										
FG_AC02_L	4.03007	12.34777	3.24223	7.13595	6.16631	4.03007	7.90863	3.54525	8.48436	4.13612	7.52987	4.57549	7.28746	5.34817	6.48447	7.74197	9.96912	8.27225	11.28723	6.62083	13.22651	8.33285	14.93853	6.92384	12.77199	5.18152	12.24172	4.37853	13.84769	5.10576	18.18077	6.37842	17.84746	7.51472	16.4839	9.24189	13.66588	10.5903																										
FG_AC02_R	16.10513	12.36292	16.77176	6.84809	13.42347	4.27248	11.86295	3.84826	11.33268	4.34823	12.16596	4.8179	12.36292	5.59058	13.31741	8.04499	9.86307	8.84797	8.51466	7.25715	6.71173	9.02978	4.95426	7.68137	6.87839	5.8936	7.43896	4.99971	5.84814	5.9845	2.16654	7.01474	2.31804	8.56011	3.6816	10.16608	6.27236	11.22662																										
FG_AC10_L	3.46949	12.43868	3.07558	6.51477	5.9239	5.06031	7.66622	4.77245	8.07529	5.37847	7.2117	5.71179	6.95414	6.30266	6.0451	8.4086	9.56005	9.43885	11.15087	8.13589	12.74169	9.65096	14.62037	8.4086	12.84774	6.90869	11.95385	5.96935	13.89314	6.98444	17.40809	7.83288	16.98387	9.18129	15.71121	10.56	13.27196	11.72659																										
FG_AC10_R	15.45365	10.92361	16.28694	5.83299	13.31741	3.31799	11.66599	2.89377	11.21147	3.37859	12.01446	3.81796	12.18111	4.45428	12.9841	6.65113	9.40855	7.46926	7.89348	6.06025	6.24206	7.48441	4.56034	6.40872	6.22691	4.74215	7.0602	3.96946	5.22697	4.727	1.90898	5.48453	2.18169	6.80263	3.42404	8.30255	5.71179	9.5146																										
FG_AC12_L	2.74226	13.69618	1.56051	8.62071	4.39368	6.12086	6.13601	5.66634	6.54507	6.31781	5.63604	6.66628	5.43908	7.34806	4.60579	9.46915	7.98439	10.12063	9.27219	8.80252	10.81756	10.13578	12.62048	9.12068	10.66605	7.34806	10.12063	6.51477	11.7872	7.40866	15.75667	8.46921	15.33245	9.63581	13.96889	11.13572	11.7872	12.27202																										
FG_AC12_R	16.01423	12.19626	17.99896	7.30261	15.57486	4.42398	14.04464	3.77251	13.40832	4.18157	14.181	4.77245	14.181	5.48453	14.84763	7.78743	11.07512	7.80258	10.07517	6.39357	8.2571	7.49956	6.66628	6.28751	8.92373	4.7573	9.68126	4.15127	7.63592	4.727	3.80281	5.28757	4.09067	6.45417	5.06031	8.04499	7.31776	9.56005																										
FG_AC13_L	3.78766	12.07506	3.24223	6.49962	7.0905	4.60579	9.07523	4.46944	9.28734	5.27242	8.33285	5.48453	8.02984	6.0754	6.87839	8.2571	9.4237	9.4237	11.69629	8.2874	13.33256	10.10548	15.3173	9.07523	13.55982	7.02989	13.02955	6.16631	14.57492	7.22685	18.60499	9.01463	18.04441	10.04487	16.22634	11.59024	13.49922	12.28717																										
FG_AC13_R	15.4082	12.68109	15.89302	7.51472	12.52958	4.98456	10.80241	4.56034	10.45394	5.12091	11.22662	5.59058	11.42358	6.30266	12.48413	8.69647	8.84797	9.71156	7.56017	8.18134	5.87845	9.83276	4.04522	8.77222	5.86329	6.84809	6.51477	5.96935	4.8179	6.96929	0.95449	8.30255	1.42416	9.5449	2.92407	11.07512	5.56028	12.33262																										
FG_AC14_L	3.66645	11.13572	3.34829	6.16631	6.49962	3.60585	8.27225	3.37859	8.68131	4.09067	7.69652	4.42398	7.37836	5.12091	6.31781	7.07535	9.40855	7.96923	11.24177	6.78748	13.0447	8.42375	14.71127	7.0602	12.83259	5.28757	12.02961	4.54519	13.81738	5.40878	17.43839	6.65113	17.28688	8.09044	15.87787	9.46915	13.22651	10.5903																										
FG_AC14_R	14.86278	12.28717	15.99908	7.75713	12.87804	5.04516	11.15087	4.60579	10.7721	5.15121	11.59024	5.59058	11.72659	6.39357	12.63563	8.52981	9.31764	9.21159	7.71167	7.86318	5.9239	9.31764	4.37853	7.86318	6.30266	6.21176	7.242	5.49968	5.43908	6.25721	1.81807	7.19655	1.84837	8.56011	3.06043	10.13578	5.56028	11.42358																										
FG_AC15_L	5.34817	12.69624	3.98461	7.72682	6.95414	5.22697	8.68131	4.89365	9.12068	5.59058	8.16619	5.86329	7.93893	6.56022	7.0602	8.72677	10.63575	9.5449	12.04476	8.13589	13.48407	9.6055	15.39305	8.45406	13.68103	6.56022	12.74169	5.77239	14.59007	6.60568	18.27167	7.93893	17.7111	8.99948	16.4536	10.5903	14.05979	11.71144																										
FG_AC15_R	14.62037	13.84769	16.46875	8.95403	13.86284	5.80269	12.37807	5.09061	11.89325	5.52998	12.57503	6.0754	12.60533	6.84809	12.93865	9.34794	9.22674	9.25704	8.21164	7.57532	6.65113	8.66616	4.98456	7.1511	7.19655	5.68149	8.15104	5.12091	6.25721	5.54513	2.49985	5.90875	2.5756	7.13595	3.54525	8.92373	5.62088	10.63575																										
FG_AC16_L	3.66645	11.71144	3.25738	6.71173	6.68143	4.7876	8.4086	4.727	8.66616	5.40878	7.77228	5.69664	7.43896	6.24206	6.18146	8.12074	9.34794	9.46915	11.10542	8.4389	12.54473	10.09033	14.55977	9.15098	12.89319	7.25715	12.37807	6.36327	14.02949	7.52987	17.7111	9.30249	17.18083	10.24183	15.42335	11.57509	12.77199	12.24172																										
FG_AC16_R	15.287	12.81744	15.90817	7.68137	12.34777	5.57543	10.72665	5.36332	10.40849	5.93905	11.22662	6.37842	11.45388	6.96929	12.59018	8.96918	9.27219	10.16608	7.74197	9.02978	6.13601	10.6509	4.28763	9.62066	5.9845	7.80258	6.56022	6.87839	4.77245	8.16619	1.49991	9.28734	1.78777	10.60545	3.48464	11.95385	5.9239	12.75684																						
FG_AC17_L	2.89377	12.9235	2.3938	7.65107	5.54513	5.28757	7.1814	4.96941	7.51472	5.52998	6.75718	5.9845	6.52992	6.63598	5.59058	8.81767	9.06008	9.5449	10.34789	8.2874	11.95385	9.65096	13.46892	8.2874	11.72659	6.75718	11.02967	6.0148	12.54473	6.72688	16.5445	8.01469	16.25664	9.28734	14.86278	10.83271	12.04476	11.99931																						
FG_AC17_R	16.95357	12.04476	18.28682	7.01474	15.4688	4.24218	13.80223	3.80281	13.48407	4.22703	14.0901	4.86335	14.181	5.43908	14.96883	7.84803	11.24177	8.33285	10.27213	6.92384	8.51466	8.27225	7.13595	6.89354	9.04493	5.33302	9.81761	4.65124	8.10559	5.28757	4.15127	6.36327	4.37853	7.56017	5.74209	9.24189	8.36315	10.5903																						
FG_AC18_L	3.43919	12.62048	2.78771	7.90863	5.75724	5.30272	7.49956	4.96941	7.84803	5.62088	6.96929	6.0148	6.74203	6.59053	5.8936	8.66616	9.01463	9.43885	10.56	8.18134	12.01446	9.52975	13.75678	8.30255	11.89325	6.65113	11.30238	5.81784	12.81744	6.49962	16.75661	7.84803	16.01423	8.92373	15.13549	10.36304	12.74169	11.65084																						
FG_AC18_R	16.16573	12.84774	16.77176	7.83288	13.60527	5.45423	11.9084	5.07546	11.51449	5.63604	12.37807	5.9845	12.52958	6.65113	13.49922	8.84797	10.22668	9.68126	8.69647	8.4389	7.36321	9.72671	5.52998	8.62071	7.43896	6.84809	8.06014	6.15116	6.42387	6.84809	2.95437	7.62077	3.10588	9.09038	4.30278	10.6812	6.71173	11.89325																						
FG_AC19_L	3.7422	11.65084	2.83317	7.07535	6.12086	4.96941	7.89348	4.74215	8.10559	5.37847	7.19655	5.81784	6.96929	6.33296	5.9239	8.3783	9.04493	9.31764	10.6206	8.01469	12.07506	9.68126	14.02949	8.69647	12.30232	6.84809	11.74175	6.0451	13.43862	7.07535	17.25658	8.45406	16.74146	9.4237	15.10519	11.01451	12.27202	11.89325																						
FG_AC19_R	15.80212	12.31747	16.4536	7.74197	12.63563	5.24212	11.01451	4.89365	10.7418	5.39362	11.54479	5.96935	11.7569	6.57538	12.75684	8.68131	9.5146	9.62066	8.02984	8.2268	6.52992	9.93882	4.74215	8.99948	6.43902	7.10565	7.02989	6.31781	5.19667	7.33291	1.80292	8.63586	2.16654	9.5449	3.6816	11.24177	6.24206	12.05991																						
FG_AC20_L	4.98456	13.15076	3.84826	8.27225	6.99959	5.49968	8.71162	4.99971	9.13583	5.65119	8.24195	6.18146	8.13589	6.78748	7.30261	9.07523	10.60545	9.5752	11.95385	8.09044	13.92344	9.6055	15.3476	7.92378	13.37802	6.42387	12.69624	5.81784	14.2113	6.30266	18.40803	7.49956	18.15047	8.84797	16.96872	10.56	14.75672	11.7569																						
