"","X","LMx.mean","LMy.mean"
"1","X1",0.0522708315882917,-0.112356458808672
"2","X2",0.220864497327692,-0.0276441390568836
"3","X3",0.236300545510818,0.0206066481656779
"4","X4",0.14893910906081,0.092211932147531
"5","X5",-0.120863769774036,0.060112240399145
"6","X6",-0.194696104182952,0.0494099408750654
"7","X7",-0.0042302626378468,-0.0590926018164369
"8","X8",0.00296088405906474,-0.0173806941175188
"9","X9",-0.0878910058584889,0.000270387624760077
"10","X10",-0.0861777403847496,0.0170981785530448
"11","X11",-0.150002747567615,0.0200744003860583
"12","X12",-0.169566672326819,-0.011790502042401
"13","X13",-0.197253534484383,-0.0217528142265748
"14","X14",-0.181771072464666,-0.07004892993762
"15","X15",-0.146647601681207,-0.102612803122492
"16","X16",-0.0994456243696563,-0.121277785786076
"17","X17",-0.0492539766877508,-0.126341902253533
"18","X18",0.000802058189233991,-0.122443534857355
"19","X19",0.095901660243413,-0.102588907340342
"20","X20",0.1414912827264,-0.0861769633654685
"21","X21",0.185007921717414,-0.0618154574480893
"22","X22",0.233854804072588,-0.00433808014526261
"23","X23",0.21775820258899,0.0544968470166638
"24","X24",0.186851696725266,0.0771807848045716
"25","X25",0.101067143398622,0.100222456563863
"26","X26",0.0533274584928459,0.100313928053568
"27","X27",0.00392449190237306,0.0951168197382656
"28","X28",-0.0578744295786076,0.0840805532337288
"29","X29",-0.154968914273687,0.0354105753166987
"30","X30",-0.195645070513436,0.0249414982721166
"31","X31",0.0275470854475659,-0.081387522151457
"32","X32",-0.0538059719651893,-0.0398411347208166
"33","X33",-0.110577606009422,-0.0242405705313209
"34","X34",0.150638987193334,-0.0206848347304135
"35","X35",0.0777765087868609,-0.0165633677521375
"36","X36",-0.040713340646484,-0.0101129177730763
"37","X37",-0.139658750893387,0.00215830459169429
"38","X38",0.175029677276653,0.0285417581674228
"39","X39",0.117541023892863,0.0312502342418426
"40","X40",0.0523488550711045,0.0310559446078346
"41","X41",-0.0182284775724132,0.0277569532830222
"42","X42",-0.114748808733642,0.0178545709300297
"43","X43",0.0954383912336416,0.0775552218059676
"44","X44",0.0429710961991799,0.0687010829423312
"45","X45",-0.0173254560888152,0.0575325739709475
"46","X46",-0.0762468439303786,0.0433301067021462
"47","X47",-0.155168401381522,0.0624628241402024
"48","X48",0.00214797130561857,-0.0392548445044495
