"","LMx.mean","LMy.mean"
"X1",0.0515443013625536,-0.113585737509018
"X2",0.219383258558497,-0.0287942366072279
"X3",0.235382530876608,0.0192415310202137
"X4",0.150310944264616,0.0912334617246308
"X5",-0.120583858393112,0.0619232384632138
"X6",-0.194464318613626,0.0507768041101205
"X7",-0.00524719556795753,-0.059420717421221
"X8",0.00205898575716327,-0.0175998346797795
"X9",-0.0885521152984414,0.000415825197713197
"X10",-0.0865420650357313,0.0173700838167835
"X11",-0.148471205534608,0.0204156560790853
"X12",-0.169747333656163,-0.0111714418063023
"X13",-0.19820399059348,-0.0188633794167291
"X14",-0.183241671028381,-0.0683915912863268
"X15",-0.146902901615055,-0.103074052318111
"X16",-0.0985231233594229,-0.122550358899476
"X17",-0.0472860629966651,-0.126976688779010
"X18",0.00244020769958484,-0.122629200888859
"X19",0.0945254894078813,-0.103197190922888
"X20",0.141747885490370,-0.0865914273307017
"X21",0.184543284138025,-0.0623449689205744
"X22",0.232504951761383,-0.00562666924658
"X23",0.217932016756959,0.0523098632335126
"X24",0.187844534546383,0.0755448888865446
"X25",0.102375671762744,0.0999514883046349
"X26",0.0552012633812019,0.100591122636630
"X27",0.00537334062070374,0.095719986957735
"X28",-0.0570237029265637,0.0851019850098686
"X29",-0.154242070607092,0.0369772437847955
"X30",-0.195859024924114,0.0258331682345335
"X31",0.0267655423038181,-0.0819155042190159
"X32",-0.0549762892458994,-0.0399736753841966
"X33",-0.111049797114953,-0.0243251461097121
"X34",0.14947213109576,-0.0214541688722521
"X35",0.0767890628428503,-0.0170168378227727
"X36",-0.0415267386401688,-0.00994992280133397
"X37",-0.140355720727557,0.0027640252691758
"X38",0.174325371668822,0.0276199367140815
"X39",0.117105169151977,0.0306615369774723
"X40",0.0522333415748996,0.0307822728346832
"X41",-0.0180863541053563,0.0277904988463894
"X42",-0.114301939335738,0.0182936179765875
"X43",0.0963720364547744,0.0774425402252773
"X44",0.0434992132008439,0.0688613823657524
"X45",-0.0163222116633771,0.058388659571905
"X46",-0.0745630925964745,0.0444380184713809
"X47",-0.1551127062785,0.0641241776703192
"X48",0.00145495506771932,-0.039120263296808
